1|0|1500.0|350.0|0.06
2|0|1500.0|350.0|0.06
3|0|1500.0|350.0|0.06
4|0|1500.0|350.0|0.06
5|0|1500.0|350.0|0.06
6|0|1500.0|350.0|0.06
7|0|1500.0|350.0|0.06
8|0|1500.0|350.0|0.06
9|0|1500.0|350.0|0.06
10|0|1500.0|350.0|0.06
11|0|1500.0|350.0|0.06
12|0|1500.0|350.0|0.06
13|0|1500.0|350.0|0.06
14|0|1500.0|350.0|0.06
15|0|1500.0|350.0|0.06
17|0|1500.0|350.0|0.06
16|0|1500.0|350.0|0.06
18|0|1500.0|350.0|0.06
27|0|1500.0|350.0|0.06
29|0|1500.0|350.0|0.06
28|0|1500.0|350.0|0.06
31|0|1500.0|350.0|0.06
30|0|1500.0|350.0|0.06
34|0|1500.0|350.0|0.06
35|0|1500.0|350.0|0.06
32|0|1500.0|350.0|0.06
33|0|1500.0|350.0|0.06
38|0|1500.0|350.0|0.06
39|0|1500.0|350.0|0.06
36|0|1500.0|350.0|0.06
37|0|1500.0|350.0|0.06
40|0|1500.0|350.0|0.06
41|0|1500.0|350.0|0.06
51|0|1500.0|350.0|0.06
50|0|1500.0|350.0|0.06
49|0|1500.0|350.0|0.06
55|0|1500.0|350.0|0.06
54|0|1500.0|350.0|0.06
53|0|1500.0|350.0|0.06
52|0|1500.0|350.0|0.06
59|0|1500.0|350.0|0.06
58|0|1500.0|350.0|0.06
57|0|1500.0|350.0|0.06
56|0|1500.0|350.0|0.06
63|0|1500.0|350.0|0.06
62|0|1500.0|350.0|0.06
61|0|1500.0|350.0|0.06
60|0|1500.0|350.0|0.06
64|0|1500.0|350.0|0.06
65|0|1500.0|350.0|0.06
