1;-1;63;39;16;8;425;0;7;45;28;0;3;1487347
2;21;225;57;0;168;2340;0;26;355;35;0;109;7414703
3;42;270;22;0;248;447;0;45;18;2;0;179;6179154
4;2;235;104;0;131;3337;0;41;1036;51;0;52;11855884
5;27;280;42;2;236;256;0;93;54;22;0;4;13764311
6;38;210;34;2;174;309;0;80;104;0;0;40;7173801
7;45;225;1;0;224;689;0;0;2;3;0;224;871605
8;30;265;72;1;192;1171;0;47;307;26;0;79;10502203
9;22;351;42;116;193;6;0;52;2;0;0;2;19031064
10;25;224;57;47;120;5;0;49;0;0;0;3;11208969
11;43;190;12;1;177;484;0;15;80;15;0;160;2805381
12;37;225;59;0;166;975;0;50;166;7;0;83;7308348
13;23;210;35;0;175;34;0;68;3;1;0;10;10001943
14;31;247;68;0;179;3246;0;42;232;31;0;94;8690733
15;17;195;48;0;147;1474;0;23;145;31;0;79;7917289
17;35;186;31;0;155;1030;0;18;177;48;0;118;5846164
16;40;195;24;0;171;1980;0;5;158;38;0;165;4064400
18;20;598;135;46;417;10;0;242;251;0;0;0;24949860
27;26;381;69;108;204;5;0;86;0;0;0;4;19624934
32;44;235;6;0;229;605;0;17;59;5;0;212;2534385
51;12;255;48;1;206;2320;0;53;78;17;0;40;12485599
50;-1;0;0;0;0;0;0;0;0;0;0;0;0
49;-1;0;0;0;0;0;0;0;0;0;0;0;0
55;11;310;70;0;240;1678;0;85;261;39;0;38;15020089
54;16;301;65;1;235;273;0;45;60;28;0;62;14342605
53;1;207;136;0;71;5698;0;11;1116;140;0;23;10885677
52;8;225;67;0;158;1795;0;42;535;98;0;86;8218848
59;4;300;188;0;112;4435;0;20;1255;223;0;63;14560369
58;3;345;185;0;160;3582;0;42;1698;106;0;43;17834248
57;10;337;112;0;225;4514;0;68;1132;121;0;126;12974420
56;32;275;89;0;186;1273;0;62;538;23;0;81;10538764
63;33;165;65;0;100;2571;0;18;542;26;0;66;6262260
62;41;195;25;0;170;273;0;32;33;4;0;108;5296062
61;29;240;64;0;176;1362;0;52;455;111;0;124;7232845
60;7;217;94;0;123;2248;0;29;471;153;0;80;8461140
69;6;357;144;23;190;3668;0;75;1089;129;0;88;14633938
70;24;266;62;24;180;172;0;52;229;6;0;29;11403340
71;9;275;109;9;157;2524;0;66;462;135;0;61;11490450
64;-1;0;0;0;0;0;0;0;0;0;0;0;0
65;14;520;116;86;318;45;0;124;198;0;0;2;24252795
76;18;236;76;7;153;2274;0;44;775;54;0;101;8196190
77;15;258;82;24;152;2442;0;61;665;109;0;70;10239046
72;19;212;61;11;140;1102;0;66;520;60;0;51;8184862
73;36;196;35;5;156;627;0;57;41;18;0;75;5033739
74;39;228;31;3;194;2452;0;13;275;35;0;173;4881505
75;28;200;64;11;125;1241;0;63;217;66;0;33;7947511
88;5;267;143;2;122;3066;0;32;657;219;0;76;9694559
91;34;297;56;15;226;948;0;102;614;20;0;97;10050098
90;13;247;87;13;147;5032;0;42;625;79;0;87;8870906
